country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
HUN,East Europe,YR2010,0.116488651,0.642197597,0.599850642,0.408712249,0.372011807,0.488228339,0.444211297,0.027247239,0.07184018,0.13664154,0.376805077,0.623194923,0.116967578,0.380398671,0.414154104,0.340881021
HUN,East Europe,YR2011,0.12817089,0.648661096,0.587898368,0.567938495,0.36757753,0.46469087,0.513461651,0.02780517,0.075439815,0.148009607,0.387972818,0.612027182,0.116625735,0.374584718,0.391541039,0.354055167
HUN,East Europe,YR2012,0.133845125,0.600184677,0.609561781,0.550730919,0.363668535,0.43871268,0.235590503,0.027526205,0.074001867,0.143976232,0.395967621,0.604032379,0.116005197,0.37333887,0.402847571,0.338822561
HUN,East Europe,YR2013,0.12449934,0.605263102,0.61404386,0.555024039,0.365079015,0.446318772,0.508667724,0.028084136,0.077510794,0.155168893,0.402838155,0.597161845,0.115675628,0.339285714,0.355527638,0.319473034
HUN,East Europe,YR2014,0.121161543,0.632963951,0.601344605,0.558187961,0.394936605,0.424407012,0.724105699,0.029478963,0.085058563,0.179831767,0.409683706,0.590316294,0.115354106,0.237541528,0.244974874,0.227665706
HUN,East Europe,YR2015,0.128504676,0.625115379,0.600099509,0.533938708,0.427172192,0.396316739,0.677721222,0.030594825,0.092171169,0.202432358,0.416504272,0.583495728,0.115070928,0.199335548,0.20519263,0.191848497
HUN,East Europe,YR2016,0.133177569,0.630193892,0.59387441,0.550656474,0.385868113,0.444811553,0.543032511,0.031431722,0.096615683,0.217264985,0.423474741,0.576525259,0.11472052,0.129152824,0.142378559,0.112391931
HUN,East Europe,YR2017,0.133177569,0.680055385,0.566982031,0.528154139,0.370904226,0.460353934,0.728101167,0.03282655,0.105182449,0.244976802,0.430545146,0.569454854,0.114405727,0.089285714,0.087520938,0.09016056
HUN,East Europe,YR2018,0.126835778,0.721606527,0.549302773,0.483794221,0.366971968,0.460223596,0.825326879,0.035058274,0.115973973,0.279983658,0.437765452,0.562234548,0.114255899,0.070598007,0.073701843,0.066282421
HUN,East Europe,YR2019,0.122496656,0.706371161,0.560756932,0.460022825,0.353273351,0.482360674,0.75354575,0.036732067,0.125623983,0.310918222,0.445085694,0.554914306,0.114202465,0.058554817,0.068676717,0.04610951
ITA,West Europe,YR2010,0.090787717,0.545706361,0.67106579,0.200320984,0.217480856,0.831319685,0.500373392,0.52575862,0.36917348,0.529327775,0.362214561,0.637785439,0.7122855,0.263704319,0.242043551,0.297241663
ITA,West Europe,YR2011,0.087783715,0.530932599,0.681274853,0.218205772,0.212084627,0.826713411,0.410720888,0.528548275,0.371625941,0.534251936,0.365137661,0.634862339,0.713518144,0.263704319,0.242881072,0.295183203
ITA,West Europe,YR2012,0.088117493,0.498153235,0.698456188,0.232678918,0.193270662,0.835916257,0.082020886,0.514599999,0.356664879,0.504212446,0.371133763,0.628866237,0.715454334,0.359219269,0.338358459,0.389048991
ITA,West Europe,YR2013,0.085113482,0.473684136,0.714143369,0.261489796,0.185244875,0.844539652,0.183604732,0.503441378,0.343392898,0.477564368,0.378503972,0.621496028,0.723841307,0.421096346,0.408710218,0.440098806
ITA,West Europe,YR2014,0.086448602,0.466758946,0.716882427,0.23717163,0.167853897,0.858793661,0.347277266,0.503441378,0.339416609,0.469580598,0.385824214,0.614175786,0.730548556,0.443106312,0.424623116,0.470152326
ITA,West Europe,YR2015,0.090120161,0.452908566,0.721613564,0.248338193,0.170548597,0.85472521,0.417045903,0.509020689,0.34317467,0.4771262,0.393144456,0.606855544,0.729841119,0.410714286,0.40201005,0.424454508
ITA,West Europe,YR2016,0.094459284,0.430747922,0.730079607,0.225655083,0.187359798,0.843281752,0.462957395,0.514599999,0.349521351,0.489869351,0.400389747,0.599610253,0.728595766,0.401993355,0.38400335,0.428159737
ITA,West Europe,YR2017,0.091121495,0.425207717,0.735557725,0.232999042,0.191193911,0.835488001,0.496324014,0.522968964,0.357519227,0.505927844,0.407610053,0.592389947,0.727498949,0.382059801,0.360971524,0.412103746
ITA,West Europe,YR2018,0.090453939,0.42982454,0.733814705,0.228480334,0.198156576,0.832262665,0.430191856,0.528548275,0.362591286,0.515968425,0.414955279,0.585044721,0.726110255,0.357142857,0.336264657,0.386990531
ITA,West Europe,YR2019,0.094793062,0.419205909,0.736304706,0.222341683,0.201365171,0.829045017,0.384247009,0.53133793,0.36915376,0.530271328,0.42240044,0.57759956,0.717742032,0.329734219,0.309045226,0.358995471
POL,East Europe,YR2010,0.40053405,0.623730306,0.397659357,0.379683523,0.54260928,0.473751289,0.681041994,0.110936895,0.065695396,0.126058729,0.176460301,0.823539699,0.455751,0.316860465,0.318257956,0.31453273
POL,East Europe,YR2011,0.395861141,0.640812524,0.392181239,0.417359648,0.576113076,0.435889589,0.771688365,0.116516205,0.073007705,0.150428618,0.17366212,0.82633788,0.455998188,0.316445183,0.305276382,0.330177028
POL,East Europe,YR2012,0.384846457,0.629270511,0.406872477,0.389068482,0.571572812,0.469887828,0.46575879,0.117911032,0.075165678,0.157620573,0.170514166,0.829485834,0.455997089,0.335548173,0.322445561,0.351173322
POL,East Europe,YR2013,0.365487315,0.634810716,0.418077674,0.418371191,0.51984564,0.508504683,0.448011842,0.11930586,0.077124029,0.164147191,0.167391196,0.832608804,0.455719613,0.34551495,0.333752094,0.359407163
POL,East Europe,YR2014,0.34846461,0.634810716,0.430776929,0.378096552,0.558435267,0.484490164,0.648785535,0.123490343,0.082894338,0.183378052,0.164243242,0.835756758,0.455375777,0.28986711,0.283919598,0.296829971
